Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
6,Vancouver Canucks,Jake Virtanen\virtaja01,CA,RW,18,2020,CALGARY (WHL),279,50,45,95,-25,178,,,,,,,8.3
7,Carolina Hurricanes,Haydn Fleury\fleurha01,CA,D,18,2020,RED DEER (WHL),132,4,19,23,0,24,,,,,,,4.9
8,Toronto Maple Leafs,William Nylander\nylanwi01,CA,C/RW,18,2020,MODO (Sweden),307,86,135,221,12,74,,,,,,,23.5
9,Winnipeg Jets,Nikolaj Ehlers\ehlerni01,DK,LW,18,2020,HALIFAX (QMJHL),369,115,142,257,34,130,,,,,,,29.6
10,Anaheim Ducks,Nicholas Ritchie\ritchni01,CA,LW,18,2020,PETERBOROUGH (OHL),294,44,67,111,12,350,,,,,,,10.6
11,Nashville Predators,Kevin Fiala\fialake01,CH,LW,18,2020,HV 71 JR. (Sweden-Jr.),287,71,87,158,-4,122,,,,,,,16.2
12,Arizona Coyotes,Brendan Perlini\perlibr01,GB,LW,18,2020,NIAGARA (OHL),239,46,30,76,-41,86,,,,,,,6.4
13,Washington Capitals,Jakub Vrana\vranaja01,CZ,L/RW,18,2020,LINKOPING (Sweden),245,65,67,132,27,59,,,,,,,15.0
14,Dallas Stars,Julius Honka\honkaju01,FI,D,18,2019,SWIFT CURRENT (WHL),87,2,11,13,-7,28,,,,,,,2.3
15,Detroit Red Wings,Dylan Larkin\larkidy01,US,C,18,2020,USA U-18 (USHL),389,107,159,266,-53,246,,,,,,,25.6
16,Columbus Blue Jackets,Sonny Milano\milanso01,US,LW,18,2020,USA U-18 (USHL),125,22,25,47,-17,36,,,,,,,4.1
17,Philadelphia Flyers,Travis Sanheim\sanhetr01,CA,D,18,2020,CALGARY (WHL),200,19,51,70,-6,74,,,,,,,11.3
18,Minnesota Wild,Alex Tuch\tuchal01,US,RW,18,2020,USA U-18 (USHL),200,43,63,106,3,43,,,,,,,10.2
19,Tampa Bay Lightning,Anthony Deangelo\deangan01,US,D,18,2020,SARNIA (OHL),200,24,81,105,-13,172,,,,,,,15.0
20,Chicago Blackhawks,Nick Schmaltz\schmani01,US,C,18,2020,GREEN BAY (USHL),249,45,105,150,2,52,,,,,,,13.8
21,St. Louis Blues,Robert Fabbri\fabbrro01,CA,C,18,2020,GUELPH (OHL),216,46,58,104,-55,78,,,,,,,9.3
22,Pittsburgh Penguins,Kasperi Kapanen\kapanka01,FI,RW,18,2020,KALPA (Finland),202,41,49,90,6,55,,,,,,,7.8
23,Colorado Avalanche,Conner Bleackley\bleacco01,CA,C,18,,Red Deer (WHL),,,,,,,,,,,,,
24,Vancouver Canucks,Jared McCann\mccanja01,CA,C,18,2020,SAULT STE. MARIE (OHL),310,52,71,123,9,114,,,,,,,11.5
25,Boston Bruins,David Pastrnak\pastrda01,CZ,RW,18,2020,SODERTALJE (Sweden-2),390,180,199,379,63,171,,,,,,,50.5
26,Montreal Canadiens,Nikita Scherbak\scherni01,RU,RW,18,2019,SASKATOON (WHL),37,6,2,8,-8,10,,,,,,,0.5
27,San Jose Sharks,Nikolay Goldobin\goldoni01,RU,RW,18,2020,SARNIA (OHL),125,19,27,46,-23,24,,,,,,,3.3
28,New York Islanders,Joshua Ho-Sang\hosanjo01,CA,C/RW,18,2019,WINDSOR (OHL),53,7,17,24,-4,20,,,,,,,1.7
29,Los Angeles Kings,Adrian Kempe\kempead01,SE,LW,18,2020,MODO (Sweden),256,41,62,103,-12,134,,,,,,,8.9
30,New Jersey Devils,John Quenneville\quennjo02,CA,C,18,2020,BRANDON (WHL),42,2,3,5,-4,6,,,,,,,-0.1
31,Buffalo Sabres,Brendan Lemieux\lemiebr01,US,LW,18,2020,BARRIE (OHL),131,19,17,36,-6,240,,,,,,,2.8
32,Florida Panthers,Jayce Hawryluk\hawryja01,CA,C,18,2020,BRANDON (WHL),68,10,12,22,-7,32,,,,,,,1.8
33,St. Louis Blues,Ivan Barbashev\barbaiv01,RU,C/LW,18,2020,MONCTON (QMJHL),232,37,40,77,3,46,,,,,,,7.3
34,Calgary Flames,Mason McDonald\mcdonma01,CA,G,18,,CHARLOTTETOWN (QMJHL),,,,,,,,,,,,,
35,Tampa Bay Lightning,Dominik Masin\masindo01,CZ,D,18,,SLAVIA JR. (Czech),,,,,,,,,,,,,
36,Vancouver Canucks,Thatcher Demko\demkoth01,US,G,18,2020,BOSTON COLLEGE (H-East),37,0,1,1,0,0,37,18,13,3,.906,3.02,6.0
37,Carolina Hurricanes,Alex Nedeljkovic\nedelal01,US,G,18,2020,PLYMOUTH (OHL),6,0,0,0,0,2,6,2,2,1,.907,2.55,0.8
38,Anaheim Ducks,Marcus Pettersson\pettema01,SE,D,18,2020,SKELLEFTEA JR. (Sweden-Jr.),175,5,46,51,31,107,,,,,,,10.4
39,Washington Capitals,Vitek Vanecek\vanecvi01,CZ,G,18,,LIBEREC JR. (Czech),,,,,,,,,,,,,
40,Ottawa Senators,Andreas Englund\engluan01,SE,D,18,2020,DJURGARDEN (Sweden-2),33,0,3,3,-12,24,,,,,,,-0.3
41,New Jersey Devils,Joshua Jacobs\jacobjo01,US,D,18,2020,INDIANA (USHL),3,0,0,0,0,2,,,,,,,0.1
42,Nashville Predators,Vladislav Kamenev\kamenvl01,RU,LW,18,2020,MAGNITOGORSK 2 (Russia-Jr.),66,3,10,13,-7,20,,,,,,,0.3
43,Arizona Coyotes,Ryan MacInnis\macinry01,US,C,18,2020,KITCHENER (OHL),10,0,1,1,1,0,,,,,,,0.0
44,Buffalo Sabres,Eric Cornel\corneer01,CA,C,18,,PETERBOROUGH (OHL),,,,,,,,,,,,,
45,Dallas Stars,Brett Pollock\pollobr01,CA,LW,18,,EDMONTON (WHL),,,,,,,,,,,,,
46,San Jose Sharks,Julius Bergman\bergmju01,SE,D,18,,FROLUNDA JR. (Sweden-Jr.),,,,,,,,,,,,,
47,Columbus Blue Jackets,Ryan Collins\colliry01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,,
48,Philadelphia Flyers,Nicolas Aube-Kubel\aubekni01,CA,RW,18,2020,VAL-D'OR (QMJHL),45,7,8,15,2,19,,,,,,,1.5
49,Buffalo Sabres,Vaclav Karabacek\karabva01,CZ,RW,18,,GATINEAU (QMJHL),,,,,,,,,,,,,
50,Los Angeles Kings,Roland McKeown\mckeoro01,CA,D,18,2018,KINGSTON (OHL),10,0,3,3,3,19,,,,,,,0.7
51,Nashville Predators,Jack Dougherty\doughja01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,,
52,St. Louis Blues,Maxim Letunov\letunma01,RU,C,18,2020,YOUNGSTOWN (USHL),3,1,0,1,0,0,,,,,,,0.2
53,San Jose Sharks,Noah Rod\rodno01,CH,RW,18,,GENEVE JR. (SWISS-JR.),,,,,,,,,,,,,
54,Calgary Flames,Hunter Smith\smithhu01,CA,RW,19,,OSHAWA (OHL),,,,,,,,,,,,,
55,Anaheim Ducks,Brandon Montour\montobr01,CA,D,20,2020,WATERLOO (USHL),243,24,67,91,20,140,,,,,,,18.9
56,Boston Bruins,Ryan Donato\donatry01,US,C,18,2020,Dexter School (High-MA),130,29,28,57,-8,20,,,,,,,5.8
57,Tampa Bay Lightning,Johnathan McLeod\maclejo02,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,,
58,Arizona Coyotes,Christian Dvorak\dvorach01,US,LW,18,2020,LONDON (OHL),246,50,65,115,-8,58,,,,,,,11.2
59,New York Rangers,Brandon Halverson\halvebr01,US,G,18,2018,SAULT STE. MARIE (OHL),1,0,0,0,0,0,1,0,0,0,.833,4.78,0.0
60,Los Angeles Kings,Alex Lintuniemi\lintual01,FI,D,18,,OTTAWA (OHL),,,,,,,,,,,,,
61,Buffalo Sabres,Jonas Johansson\johanjo03,SE,G,18,2020,BRYNAS JR. (Sweden-Jr.),6,0,0,0,0,0,6,1,3,1,.894,2.94,0.6
62,Nashville Predators,Justin Kirkland\kirklju01,CA,LW,18,,KELOWNA (WHL),,,,,,,,,,,,,
63,Detroit Red Wings,Dominic Turgeon\turgedo01,CA,C,18,2019,PORTLAND (WHL),9,0,0,0,-5,2,,,,,,,-0.3
64,Calgary Flames,Brandon Hickey\hickebr01,CA,D,18,,SPRUCE GROVE (AJHL),,,,,,,,,,,,,
65,Florida Panthers,Juho Lammikko\lammiju01,FI,RW,18,2019,ASSAT JR. (Finland-Jr.),40,0,6,6,-7,6,,,,,,,-0.4
66,Vancouver Canucks,Nikita Tryamkin\tryamni01,RU,D,20,2017,YEKATERINBURG (Russia),79,3,8,11,-10,74,,,,,,,2.5
67,Carolina Hurricanes,Warren Foegele\foegewa01,CA,LW,18,2020,ST. ANDREWS (HIGH-ON),147,25,23,48,-5,54,,,,,,,4.1
68,Toronto Maple Leafs,Rinat Valiev\valieri01,RU,D,19,2018,KOOTENAY (WHL),12,0,0,0,0,2,,,,,,,0.2
69,Winnipeg Jets,Jack Glover\gloveja01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,,
70,Ottawa Senators,Miles Gendron\gendrmi01,US,D,18,,RIVERS ACADEMY (High-MA),,,,,,,,,,,,,
71,New Jersey Devils,Connor Chatham\chathco01,US,RW,18,,PLYMOUTH (OHL),,,,,,,,,,,,,
72,San Jose Sharks,Alex Schoenborn\schoeal01,US,RW,18,,PORTLAND (WHL),,,,,,,,,,,,,
73,Montreal Canadiens,Brett Lernout\lernobr01,CA,D,18,2018,SWIFT CURRENT (WHL),21,0,1,1,-6,6,,,,,,,0.0
74,Buffalo Sabres,Brycen Martin\martibr01,CA,D,18,,SWIFT CURRENT (WHL),,,,,,,,,,,,,
75,Dallas Stars,Alexander Peters\peteral01,CA,D,18,,PLYMOUTH (OHL),,,,,,,,,,,,,
76,Columbus Blue Jackets,Elvis Merzlikins\merzlel01,LV,G,20,2020,LUGANO (Swiss),33,0,0,0,0,0,33,13,9,8,.923,2.35,6.5
77,Columbus Blue Jackets,Blake Siebenaler\siebebl01,US,D,18,,NIAGARA (OHL),,,,,,,,,,,,,
78,New York Islanders,Ilya Sorokin\sorokil01,RU,G,19,,NOVOKUZNETSK (Russia),,,,,,,,,,,,,
79,Tampa Bay Lightning,Brayden Point\pointbr01,CA,C,18,2020,MOOSE JAW (WHL),295,116,146,262,77,77,,,,,,,31.2
80,Minnesota Wild,Louis Belpedio\belpelo01,US,D,18,2019,USA U-18 (USHL),3,0,2,2,1,0,,,,,,,0.3
81,San Jose Sharks,Dylan Sadowy\sadowdy01,CA,LW,18,,SAGINAW (OHL),,,,,,,,,,,,,
82,St. Louis Blues,Jake Walman\walmaja01,CA,D,18,2020,TORONTO JC (OJHL),1,0,0,0,1,0,,,,,,,0.1
83,Chicago Blackhawks,Matheson Iacopelli\iacopma01,US,RW,20,,MUSKEGON (USHL),,,,,,,,,,,,,
84,Colorado Avalanche,Kyle Wood\woodky01,CA,D,18,,NORTH BAY (OHL),,,,,,,,,,,,,
85,New York Rangers,Keegan Iverson\iverske01,US,C/RW,18,,PORTLAND (WHL),,,,,,,,,,,,,
86,Philadelphia Flyers,Mark Friedman\friedma01,CA,D,18,2020,WATERLOO (USHL),7,0,1,1,-1,2,,,,,,,0.1
87,Arizona Coyotes,Anton Karlsson\karlsan02,SE,RW,18,,FROLUNDA JR. (Sweden-Jr.),,,,,,,,,,,,,
88,Chicago Blackhawks,Beau Starrett\starrbe01,US,C/LW,18,,SOUTH SHORE (USPHL),,,,,,,,,,,,,
89,Washington Capitals,Nathan Walker\walkena01,GB,LW,20,2020,Hershey (AHL),17,2,2,4,-1,12,,,,,,,0.3
90,Los Angeles Kings,Michael Amadio\amadimi01,CA,C,18,2020,NORTH BAY (OHL),148,16,21,37,-14,24,,,,,,,2.4
91,Edmonton Oilers,William Lagesson\lageswi01,SE,D,18,2020,FROLUNDA JR. (Sweden-Jr.),8,0,0,0,-4,0,,,,,,,-0.2
92,Florida Panthers,Joe Wegwerth\wegwejo01,US,RW,18,,USA U-18 (USHL),,,,,,,,,,,,,
93,Colorado Avalanche,Nicholas Magyar\magyani01,US,RW,18,,KITCHENER (OHL),,,,,,,,,,,,,
94,St. Louis Blues,Ville Husso\hussovi01,FI,G,19,,HIFK (Finland),,,,,,,,,,,,,
95,New York Islanders,Linus Soderstrom\soderli01,SE,G,18,,DJURGARDEN JR. (Sweden-Jr.),,,,,,,,,,,,,
96,Carolina Hurricanes,Josh Wesley\weslejo01,US,D,18,,PLYMOUTH (OHL),,,,,,,,,,,,,
97,Carolina Hurricanes,Lucas Wallmark\wallmlu01,SE,C,19,2020,LULEA (Sweden),167,23,33,56,-11,58,,,,,,,3.9
98,Chicago Blackhawks,Frederik Olofsson\olofsfr01,SE,LW,18,,CHICAGO (USHL),,,,,,,,,,,,,
99,Winnipeg Jets,Chase De Leo\deleoch01,US,C,18,2020,PORTLAND (WHL),4,0,0,0,2,0,,,,,,,0.0
100,Ottawa Senators,Shane Eiserman\eisersh01,US,C/LW,18,,DUBUQUE (USHL),,,,,,,,,,,,,
101,Winnipeg Jets,Nelson Nogier\nogiene01,CA,D,18,2019,SASKATOON (WHL),11,0,0,0,-1,5,,,,,,,-0.1
102,San Jose Sharks,Alexis Vanier\vanieal01,CA,D,18,,BAIE-COMEAU (QMJHL),,,,,,,,,,,,,
103,Toronto Maple Leafs,John Piccinich\piccijo01,US,RW,18,,YOUNGSTOWN (USHL),,,,,,,,,,,,,
104,New York Rangers,Ryan Mantha\manthry01,US,D,18,,INDIANA (USHL),,,,,,,,,,,,,
105,Dallas Stars,Michael Prapavessis\prapami01,CA,D,18,,TORONTO LAKESHORE (OJHL),,,,,,,,,,,,,
106,Detroit Red Wings,Christoffer Ehn\ehnch01,SE,C,18,2020,FROLUNDA JR. (Sweden-Jr.),114,5,8,13,-26,8,,,,,,,-1.0
107,Columbus Blue Jackets,Julien Pelletier\pelleju01,CA,LW,18,,CAPE BRETON (QMJHL),,,,,,,,,,,,,
108,New York Islanders,Devon Toews\toewsde01,CA,D,20,2020,Quinnipiac (ECAC),116,11,35,46,8,20,,,,,,,8.9
109,Minnesota Wild,Kaapo Kahkonen\kahkoka01,FI,G,18,2020,BLUES JR. (Finland-Jr.),5,0,0,0,0,0,5,3,1,1,.913,2.96,1.0
110,St. Louis Blues,Austin Poganski\poganau01,US,RW,18,2020,TRI-CITY (USHL),1,0,0,0,0,0,,,,,,,0.0
111,Edmonton Oilers,Zachary Nagelvoort\nagelza01,US,G,20,,Michigan (Big Ten),,,,,,,,,,,,,
112,Nashville Predators,Viktor Arvidsson\arvidvi01,SE,LW,21,2020,SKELLEFTEA (Sweden),335,117,97,214,36,151,,,,,,,27.0
113,Pittsburgh Penguins,Sam Lafferty\laffesa01,US,C/LW,19,2020,Deerfield (High-MA),50,6,7,13,5,23,,,,,,,1.3
114,Colorado Avalanche,Alexis Pepin\pepinal01,CA,LW,18,,GATINEAU (QMJHL),,,,,,,,,,,,,
115,Dallas Stars,Brent Moran\moranbr02,CA,G,18,,NIAGARA (OHL),,,,,,,,,,,,,
116,Boston Bruins,Danton Heinen\heineda01,CA,C/LW,19,2020,SURREY (BCHL),229,37,70,107,18,44,,,,,,,10.0
117,Arizona Coyotes,Michael Bunting\buntimi01,CA,LW,18,2019,SAULT STE. MARIE (OHL),5,1,0,1,0,2,,,,,,,0.1
118,New York Rangers,Igor Shesterkin\shestig01,RU,G,18,2020,SPARTAK 2 (Russia-Jr.),12,0,0,0,0,0,12,10,2,0,.932,2.52,3.4
119,Tampa Bay Lightning,Ben Thomas\thomabe01,CA,D,18,,CALGARY (WHL),,,,,,,,,,,,,
120,Los Angeles Kings,Steven Johnson\johnsst01,US,D,20,,OMAHA (USHL),,,,,,,,,,,,,
121,Buffalo Sabres,Maxwell Willman\willmma01,US,C,19,,Williston-Northampton (High-MA),,,,,,,,,,,,,
122,New York Rangers,Richard Nejezchleb\nejezri01,CZ,LW,20,,BRANDON (WHL),,,,,,,,,,,,,
123,Anaheim Ducks,Matthew Berkovitz\berkoma01,US,D,18,,Ashwaubenon (High-WI),,,,,,,,,,,,,
124,St. Louis Blues,Jaedon Descheneau\deschja01,CA,RW,19,,KOOTENAY (WHL),,,,,,,,,,,,,
125,Montreal Canadiens,Nikolas Koberstein\koberni01,CA,D,18,,OLDS (AJHL),,,,,,,,,,,,,
126,Vancouver Canucks,Gustav Forsling\forslgu02,SE,D,18,2019,LINKOPING JR. (Sweden-Jr.),122,8,19,27,-8,42,,,,,,,4.3
127,Carolina Hurricanes,Clark Bishop\bishocl01,CA,C,18,2020,CAPE BRETON (QMJHL),25,1,3,4,-5,10,,,,,,,0.0
128,Toronto Maple Leafs,Dakota Joshua\joshuda01,US,C,18,,Sioux Falls (USHL),,,,,,,,,,,,,
129,Winnipeg Jets,Clinston Franklin\frankcl01,US,LW,20,2020,Sioux Falls (USHL),1,0,0,0,-1,0,,,,,,,0.0
130,Edmonton Oilers,Liam Coughlin\coughli01,US,C/LW,19,,VERNON (BCHL),,,,,,,,,,,,,
131,New Jersey Devils,Ryan Rehill\rehilry01,CA,D,18,,KAMLOOPS (WHL),,,,,,,,,,,,,
132,Nashville Predators,Joonas Lyytinen\lyytijo01,FI,D,19,,KALPA (Finland),,,,,,,,,,,,,
133,Arizona Coyotes,Dysin Mayo\mayody01,CA,D,18,,EDMONTON (WHL),,,,,,,,,,,,,
134,Washington Capitals,Shane Gersich\gersish01,US,C/LW,18,2018,USA U-18 (USHL),3,0,1,1,-1,0,,,,,,,0.0
135,Dallas Stars,Miro Karjalainen\karjami01,FI,D,18,,Jokerit U18 (Finland-Jr.),,,,,,,,,,,,,
136,Detroit Red Wings,Chase Perry\perrych01,US,G,18,,WENATCHEE (NAHL),,,,,,,,,,,,,
137,Columbus Blue Jackets,Tyler Bird\birdty01,US,RW,18,,KIMBALL UNION (High-NH),,,,,,,,,,,,,
138,Philadelphia Flyers,Oskar Lindblom\lindbos01,SE,LW,18,2020,BRYNAS JR. (Sweden-Jr.),134,30,27,57,-1,32,,,,,,,5.2
139,Minnesota Wild,Tanner Faith\faithta01,CA,D,18,,KOOTENAY (WHL),,,,,,,,,,,,,
140,New York Rangers,Daniel Walcott\walcoda01,CA,D,20,,BLAINVILLE-BOISBRIAND (QMJHL),,,,,,,,,,,,,
141,Chicago Blackhawks,Luc Snuggerud\snugglu01,US,D,18,,EDEN PRAIRIE (High-MN),,,,,,,,,,,,,
142,New York Rangers,Tyler Nanne\nannety01,US,D,18,,EDINA HIGH (High-MN),,,,,,,,,,,,,
143,Florida Panthers,Miguel Fidler\fidlemi02,US,LW,18,,EDINA HIGH (High-MN),,,,,,,,,,,,,
144,Colorado Avalanche,Anton Lindholm\lindhan01,SE,D,19,2020,SKELLEFTEA JR. (Sweden-Jr.),66,0,5,5,-4,16,,,,,,,1.0
145,Pittsburgh Penguins,Anthony Angello\angelan01,US,C,18,2020,OMAHA (USHL),8,1,0,1,-1,4,,,,,,,0.1
146,Boston Bruins,Anders Bjork\bjorkan01,US,LW,18,2020,USA U-18 (USHL),108,14,20,34,6,18,,,,,,,2.9
147,Montreal Canadiens,Daniel Audette\audetda01,US,C,18,,SHERBROOKE (QMJHL),,,,,,,,,,,,,
148,Chicago Blackhawks,Andreas Soderberg\soderan01,SE,D,18,,SKELLEFTEA JR. (Sweden-Jr.),,,,,,,,,,,,,
149,San Jose Sharks,Rourke Chartier\chartro01,CA,C,18,2019,KELOWNA (WHL),13,1,0,1,-5,2,,,,,,,-0.2
150,Los Angeles Kings,Alec Dillon\dilloal01,CA,G,18,,VICTORIA (WHL),,,,,,,,,,,,,
151,Buffalo Sabres,Christopher Brown\brownch02,US,C,18,,Cranbrook Kingswood (HIGH-MI),,,,,,,,,,,,,
152,New Jersey Devils,Joey Dudek\dudekjo01,US,C,18,,KIMBALL UNION (High-NH),,,,,,,,,,,,,
153,Edmonton Oilers,Tyler Vesel\veselty01,US,C,20,,OMAHA (USHL),,,,,,,,,,,,,
154,Dallas Stars,Aaron Haydon\haydoaa01,US,D,18,,NIAGARA (OHL),,,,,,,,,,,,,
155,New York Islanders,Kyle Schempp\schemky01,US,C,20,,Ferris State (WCHA),,,,,,,,,,,,,
156,Vancouver Canucks,Kyle Pettit\pettiky01,CA,C,18,,ERIE (OHL),,,,,,,,,,,,,
157,Los Angeles Kings,Jake Marchment\marchja01,CA,C,19,,BELLEVILLE (OHL),,,,,,,,,,,,,
158,Toronto Maple Leafs,Nolan Vesey\veseyno01,US,LW,19,,SOUTH SHORE (USPHL),,,,,,,,,,,,,
159,Washington Capitals,Steven Spinner\spinnst01,US,RW,18,,EDEN PRAIRIE (High-MN),,,,,,,,,,,,,
160,Minnesota Wild,Pontus Sjalin\sjalipo01,SE,D,18,,Östersunds (Sweden),,,,,,,,,,,,,
161,New Jersey Devils,Brandon Baddock\baddobr01,CA,LW,19,,EDMONTON (WHL),,,,,,,,,,,,,
162,Nashville Predators,Aaron Irving\irvinaa01,CA,D,18,,EDMONTON (WHL),,,,,,,,,,,,,
163,Arizona Coyotes,David Westlund\westlda01,SE,D,19,,BRYNAS JR. (Sweden-Jr.),,,,,,,,,,,,,
164,Winnipeg Jets,Pavel Kraskovsky\kraskpa01,RU,C,18,,YAROSLAVL 2 (Russia-Jr.),,,,,,,,,,,,,
165,Dallas Stars,John Nyberg\nyberjo01,SE,LW,18,,FROLUNDA JR. (Sweden-Jr.),,,,,,,,,,,,,
166,Detroit Red Wings,Julius Vahatalo\vahatju01,FI,LW,19,,TPS JR. (Finland-Jr.),,,,,,,,,,,,,
167,Minnesota Wild,Chase Lang\langch01,CA,C,18,,CALGARY (WHL),,,,,,,,,,,,,
168,Philadelphia Flyers,Radel Fazleev\fazlera01,RU,C,18,,CALGARY (WHL),,,,,,,,,,,,,
169,Minnesota Wild,Reid Duke\dukere01,CA,C,18,,LETHBRIDGE (WHL),,,,,,,,,,,,,
170,Tampa Bay Lightning,Cristiano Digiacinto\digiacr01,CA,LW,18,,WINDSOR (OHL),,,,,,,,,,,,,
171,San Jose Sharks,Kevin Labanc\labanke01,US,RW,18,2020,BARRIE (OHL),284,50,99,149,-31,128,,,,,,,12.5
172,St. Louis Blues,Chandler Yakimowicz\yakimch01,US,RW,18,,LONDON (OHL),,,,,,,,,,,,,
173,Pittsburgh Penguins,Jaden Lindo\lindoja01,CA,RW,18,,OWEN SOUND (OHL),,,,,,,,,,,,,
174,Colorado Avalanche,Maximilian Pajpach\pajpama01,SK,G,18,,SLOVAKIA U18 (Slovakia-2),,,,,,,,,,,,,
175,Calgary Flames,Adam Ollas-Mattsson\ollasad01,SE,D,18,,DJURGARDEN JR. (Sweden-Jr.),,,,,,,,,,,,,
176,St. Louis Blues,Samuel Blais\blaissa01,CA,LW,18,2020,VICTORIAVILLE (QMJHL),83,9,11,20,-2,32,,,,,,,1.4
177,Montreal Canadiens,Hayden Hawkey\hawkeha01,US,G,19,,OMAHA (USHL),,,,,,,,,,,,,
178,Chicago Blackhawks,Dylan Sikura\sikurdy01,CA,C,19,2020,AURORA (OJHL),47,1,13,14,5,0,,,,,,,0.7
179,Chicago Blackhawks,Ivan Nalimov\nalimiv01,RU,G,20,,SKA St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,,
180,Los Angeles Kings,Matthew Mistele\mistema01,CA,LW,18,,PLYMOUTH (OHL),,,,,,,,,,,,,
181,Buffalo Sabres,Victor Olofsson\olofsvi01,SE,RW,19,2020,MODO JR. (Sweden-Jr.),60,22,24,46,0,8,,,,,,,5.2
182,Florida Panthers,Hugo Fagerblom\fagerhu01,SE,G,18,,Frolunda U18 (Sweden-Jr.),,,,,,,,,,,,,
183,Edmonton Oilers,Keven Bouchard\bouchke01,CA,G,18,,VAL-D'OR (QMJHL),,,,,,,,,,,,,
184,Calgary Flames,Austin Carroll\carroau01,CA,RW,20,,VICTORIA (WHL),,,,,,,,,,,,,
185,Tampa Bay Lightning,Cameron Darcy\darcyca01,US,C,20,,CAPE BRETON (QMJHL),,,,,,,,,,,,,
186,Vancouver Canucks,Mackenze Stewart\stewama01,CA,D,19,,PRINCE ALBERT (WHL),,,,,,,,,,,,,
187,Carolina Hurricanes,Kyle Jenkins\jenkiky01,CA,D,18,,SAULT STE. MARIE (OHL),,,,,,,,,,,,,
188,Toronto Maple Leafs,Pierre Engvall\engvapi01,SE,LW,18,2020,FROLUNDA JR. (Sweden-Jr.),48,8,7,15,4,6,,,,,,,1.4
189,Ottawa Senators,Kelly Summers\summeke01,CA,D,18,,Carleton Place (CCHL),,,,,,,,,,,,,
190,Ottawa Senators,Francis Perron\perrofr01,CA,LW,18,,ROUYN-NORANDA (QMJHL),,,,,,,,,,,,,
191,Arizona Coyotes,Jared Fiegl\fieglja01,US,LW,18,,USA U-18 (USHL),,,,,,,,,,,,,
192,Winnipeg Jets,Matt Ustaski\ustasma01,US,C/LW,20,,LANGLEY (BCHL),,,,,,,,,,,,,
193,Arizona Coyotes,Edgars Kulda\kuldaed01,LV,LW,19,,EDMONTON (WHL),,,,,,,,,,,,,
194,Washington Capitals,Kevin Elgestal\elgeske01,SE,RW,18,,FROLUNDA JR. (Sweden-Jr.),,,,,,,,,,,,,
195,Dallas Stars,Patrick Sanvido\sanvipa01,CA,D,18,,WINDSOR (OHL),,,,,,,,,,,,,
196,Detroit Red Wings,Axel Holmstrom\holmsax01,SE,C,18,,SKELLEFTEA JR. (Sweden-Jr.),,,,,,,,,,,,,
197,Columbus Blue Jackets,Olivier Leblanc\leblaol01,CA,D,18,,SAINT JOHN (QMJHL),,,,,,,,,,,,,
198,Philadelphia Flyers,Jesper Pettersson\petteje01,SE,D,20,,LINKOPING (Sweden),,,,,,,,,,,,,
199,Minnesota Wild,Pavel Jenys\jenyspa01,CZ,C,18,,BRNO (Czech),,,,,,,,,,,,,
200,New York Islanders,Lukas Sutter\suttelu01,US,C,20,,RED DEER (WHL),,,,,,,,,,,,,
201,Detroit Red Wings,Alexander Kadeykin\kadeyal01,RU,C,20,,Mytischi (Russia),,,,,,,,,,,,,
202,St. Louis Blues,Dwyer Tschantz\tschadw01,US,RW,19,,INDIANA (USHL),,,,,,,,,,,,,
203,Pittsburgh Penguins,Jeff Taylor\tayloje01,US,D,20,,Union (ECAC),,,,,,,,,,,,,
204,Colorado Avalanche,Julien Nantel\nanteju01,CA,C/LW,18,,ROUYN-NORANDA (QMJHL),,,,,,,,,,,,,
205,Anaheim Ducks,Ondrej Kase\kaseon01,CZ,RW,18,2020,CHOMUTOV (Czech),204,43,54,97,10,48,,,,,,,10.3
206,Boston Bruins,Emil Johansson\johanem01,SE,D,18,,HV 71 JR. (Sweden-Jr.),,,,,,,,,,,,,
207,Montreal Canadiens,Jake Evans\evansja02,CA,C/RW,18,2020,ST. MICHAELS (OJHL),13,2,1,3,1,0,,,,,,,0.3
208,Chicago Blackhawks,Jack Ramsey\ramseja01,US,RW,18,,PENTICTON (BCHL),,,,,,,,,,,,,
209,Los Angeles Kings,Spencer Watson\watsosp01,CA,RW,18,,KINGSTON (OHL),,,,,,,,,,,,,
210,Los Angeles Kings,Jacob Middleton\middlja01,CA,D,18,2020,OTTAWA (OHL),13,0,3,3,-3,11,,,,,,,0.3
1,Colorado Avalanche,Nathan MacKinnon\mackina01,CA,C,18,2020,Halifax (QMJHL),525,190,305,495,39,197,,,,,,,56.9
2,Florida Panthers,Aleksander Barkov\barkoal01,FI,C,18,2020,Tappara (Finland),479,155,252,407,32,84,,,,,,,44.8
3,Tampa Bay Lightning,Jonathan Drouin\drouijo01,CA,LW,18,2020,Halifax (QMJHL),349,67,142,209,-51,124,,,,,,,17.9
4,Nashville Predators,Seth Jones\jonesse01,US,D,18,2020,Portland (WHL),524,60,198,258,-7,168,,,,,,,44.3
