Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
126,Calgary Flames,Mitchell Mattson\mattsmi01,US,C,18,,Grand Rapids (High-MN),,,,,,,,,,,,,
127,Winnipeg Jets,Jordan Stallard\stalljo01,CA,C,18,,Calgary (WHL),,,,,,,,,,,,,
128,Dallas Stars,Colton Point\pointco01,CA,G,18,,Carleton Place (CCHL),,,,,,,,,,,,,
129,Buffalo Sabres,Philip Nyberg\nyberph01,SE,D,19,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,,
130,Buffalo Sabres,Vojtech Budik\budikvo01,CZ,D,18,,Prince Albert (WHL),,,,,,,,,,,,,
131,Colorado Avalanche,Adam Werner\wernead01,SE,G,19,2020,Farjestad Jr. (Sweden-Jr.),2,0,0,0,0,0,2,1,1,0,.914,3.42,0.4
132,New Jersey Devils,Yegor Rykov\rykovye01,RU,D,19,,SKA St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,,
133,Ottawa Senators,Maxime Lajoie\lajoima01,CA,D,18,2020,Swift Current (WHL),62,7,8,15,-25,20,,,,,,,1.3
134,Carolina Hurricanes,Jeremy Helvig\helvije01,CA,G,19,,Kingston (OHL),,,,,,,,,,,,,
135,Boston Bruins,Joona Koppanen\koppajo01,FI,LW,18,,Ilves Jr. (Finland-Jr.),,,,,,,,,,,,,
136,Boston Bruins,Cameron Clarke\clarkca01,US,D,20,,Lone Star (NAHL),,,,,,,,,,,,,
137,Detroit Red Wings,Jordan Sambrook\sambrjo01,CA,D,18,,Erie (OHL),,,,,,,,,,,,,
138,Nashville Predators,Patrick Harper\harpepa01,US,C,18,,Avon Old Farms (HIGH-CT),,,,,,,,,,,,,
139,Philadelphia Flyers,Linus Hogberg\hogbeli01,SE,D,18,,Vaxjo Jr. (Sweden-Jr.),,,,,,,,,,,,,
140,Vancouver Canucks,Cole Candella\candeco01,CA,D,18,,Hamilton (OHL),,,,,,,,,,,,,
141,New York Rangers,Timothy Gettinger\gettiti01,US,LW,18,2020,Sault Ste. Marie (OHL),6,0,1,1,1,0,,,,,,,0.1
142,Los Angeles Kings,Michael Eyssimont\eyssimi01,US,C,20,,St. Cloud State (NCHC),,,,,,,,,,,,,
143,Chicago Blackhawks,Mathias From\fromma01,DK,W,18,,Rogle Jr. (Sweden-Jr.),,,,,,,,,,,,,
144,St. Louis Blues,Conner Bleackley\bleacco01,CA,C,20,,Red Deer (WHL),,,,,,,,,,,,,
145,Washington Capitals,Beck Malenstyn\malenbe01,CA,LW,18,2020,Calgary (WHL),3,0,0,0,-1,0,,,,,,,-0.1
146,Dallas Stars,Nicholas Caamano\caamani01,CA,RW,18,2020,Flint (OHL),12,1,1,2,2,4,,,,,,,0.2
147,Washington Capitals,Axel Jonsson-Fjallby\jonssax01,SE,LW,18,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,,
148,Tampa Bay Lightning,Christopher Paquette\paquech01,CA,C,18,,Niagara (OHL),,,,,,,,,,,,,
149,Edmonton Oilers,Graham McPhee\mcphegr01,US,LW,18,,USA U-18 (USHL),,,,,,,,,,,,,
150,San Jose Sharks,Manuel Wiederer\wiedema01,DE,C,19,,Moncton (QMJHL),,,,,,,,,,,,,
151,Pittsburgh Penguins,Niclas Almari\almarni01,FI,D,18,,Jokerit Jr. (Finland-Jr.),,,,,,,,,,,,,
152,Toronto Maple Leafs,Jonathan Walker\walkejo01,US,D,20,,Victoria (WHL),,,,,,,,,,,,,
153,Edmonton Oilers,Aapeli Rasanen\rasanaa01,FI,C,18,,Tappara Jr. (Finland-Jr.),,,,,,,,,,,,,
154,Vancouver Canucks,Jakob Stukel\stukeja01,CA,LW,19,,Calgary (WHL),,,,,,,,,,,,,
155,Columbus Blue Jackets,Peter Thome\thomepe01,US,G,19,,Aberdeen (NAHL),,,,,,,,,,,,,
156,Calgary Flames,Eetu Tuulola\tuuloee01,FI,RW,18,,HPK Jr. (Finland-Jr.),,,,,,,,,,,,,
157,Winnipeg Jets,Mikhail Berdin\berdimi01,RU,G,18,,Team Russia U18 (Russia-Jr.),,,,,,,,,,,,,
